post_id,platform,account,post_date,content_type,impressions,reach,likes,comments,shares,saves,clicks,hashtags,engagement_rate,follower_count,sentiment
POST_000029,Twitter,@noah_johnson,2024-06-28,Reel,165977,93505,2601,216,169,223,2039,"socialmedia,content",0.01799,184387,0
POST_000030,Twitter,@mary_robinson,2023-04-10,Reel,496708,455293,22483,1521,579,1695,6487,#startup #data,4.9492,99689,great
POST_000031,Twitter,@linda_hernandez,2023-08-26,Poll,22446,13027,1096,110,38,78,271,"['marketing', 'tech', 'growth']",0.055422,488839,0
POST_000032,Instagram,@joseph_hernandez,2024-06-20,Post,223259,126954,11741,1213,214,1111,3159,#analytics #ai #startup,5.8981,162490,negative
POST_000033,Instagram,@william_jackson,2024-06-09,Reel,489233,244862,27085,2647,1765,964,5380,"content,tech",6.438,65877,neg
POST_000034,IG,@emma_lee,2023-08-20,Thread,499325,305832,28123,1192,605,1968,4840,"tech,business,socialmedia",0.059921,153613,
POST_000035,instagram,@thomas_jones,2024-11-03,Tweet,320579,280886,7995,257,217,527,7292,"['socialmedia', 'data', 'analytics', 'ai']",2.6418,468860,pos
POST_000036,Instagram,@linda_lopez,2024-08-14,Post,40999,33772,3063,409,51,285,2000,data,0.085929,80215,negative
POST_000037,twitter,@richard_lee,2023-10-06,Carousel,410436,232945,6627,351,500,234,5493,['analytics'],0.01822,151435,positive
POST_000038,Instagram,@jennifer_taylor,2023-05-04,Carousel,115052,105859,10902,378,618,621,4448,"startup,socialmedia,data,tech",0.103414,104769,0
POST_000039,Twitter,@barbara_lopez,2024-02-28,Poll,39815,31372,745,73,42,15,1562,"growth,content,tech,data",2.16,234457,+
POST_000040,TW,@karen_wilson,2024-04-08,Post,312117,227151,17041,826,1317,416,4970,"['tech', 'analytics', 'marketing']",0.061464,107475,positive
POST_000041,TW,@david_miller,2023-01-16,Reel,288851,160727,16389,2376,657,542,8273,"analytics,tech,marketing",6.7239,147985,great
POST_000042,IG,@jessica_brown,2024-01-05,Reel,129290,116391,6559,736,302,646,5774,"startup,business,data,socialmedia",5.8759,392138,
POST_000043,Twitter,@jessica_johnson,2024-12-03,Tweet,460320,354551,21852,3269,493,1158,9524,"socialmedia,marketing",5.5644,355034,positive
POST_000044,X,@liam_hernandez,2023-07-29,Reel,308361,173270,14871,1904,667,573,9543,socialmedia,0.056564,427260,positive
POST_000045,Instagram,@william_clark,2024-11-22,Poll,315313,226090,11804,805,685,746,7971,"['marketing', 'tech']",4.2161,37577,neg
POST_000046,Twitter,@jennifer_hernandez,2023-12-22,Reel,80078,41374,4743,532,111,400,1539,['analytics'],6.7259,375864,negative
POST_000047,TW,@sophia_thomas,2024-08-22,Tweet,190286,101668,4046,329,52,130,5776,#marketing #tech #analytics #ai,0.023265,421695,negative
POST_000048,twitter,@elizabeth_lopez,2024-12-01,Thread,284981,166364,3949,230,110,278,1888,"['growth', 'ai']",0.01505,343872,positive
POST_000049,twitter,@mary_williams,2024-09-06,Reel,149559,213510,24345,2321,384,1402,11012,"marketing,content,startup",18.0865,247363,negative
POST_000050,Twitter,@liam_smith,2024-07-07,Reel,292320,253739,16785,2387,1113,1303,3565,"['marketing', 'growth']",6.9393,435703,negative
POST_000051,Twitter,@james_williams,2024-10-31,Poll,49990,40098,4047,125,289,206,473,"data,ai,socialmedia",0.089238,59861,+
POST_000052,Instagram,@thomas_davis,2023-02-12,Post,334911,270607,23591,3319,690,1061,11445,"analytics,growth",0.08241,270871,
POST_002308,X,@david_garcia,2023-07-29,Story,1706,911,89,5,2,6,13,#socialmedia #startup #ai,0.056272,131523,positive
POST_000054,Twitter,@liam_martinez,2024-12-14,Carousel,389170,229393,12692,510,715,1213,9930,"['tech', 'socialmedia']",3.5761,223294,
POST_000055,instagram,@ava_brown,2023-10-02,Story,171631,120090,13768,2055,894,663,2183,"business,analytics",0.097401,54062,1
POST_000056,X,@john_jones,2024-06-09,Carousel,466539,430267,20023,862,1174,1568,6593,"socialmedia,marketing,startup,data",4.7282,115843,positive
POST_000057,Instagram,@robert_garcia,2023-08-25,Post,284296,222372,18321,2678,959,1411,8021,#socialmedia #business #ai,7.7236,282820,1
POST_000058,X,@charles_anderson,2023-07-04,Tweet,183147,108880,7938,811,272,285,5852,#socialmedia,0.049256,223713,1
POST_000059,Twitter,@thomas_white,2023-02-28,Reel,449972,226135,5979,792,338,592,3402,"['ai', 'marketing', 'business']",1.5799,463884,good
POST_000060,Instagram,@mary_white,2024-12-01,Carousel,309805,163968,16625,1763,931,744,2925,"['socialmedia', 'business']",6.2359,413170,bad
POST_000061,IG,@william_thomas,2023-02-19,Carousel,492656,285453,8315,283,206,243,8779,"content,marketing,socialmedia",1.787,122836,-
POST_000062,Twitter,@david_brown,2023-12-28,Carousel,72806,78434,7606,921,90,742,2025,"marketing,content,business",11.8356,485441,
POST_000063,Twitter,@jennifer_lopez,2023-06-12,Story,49197,27781,1802,212,100,120,1011,"['ai', 'data', 'tech', 'socialmedia']",0.04297,463781,
POST_000064,IG,@jessica_lopez,2024-02-01,Tweet,479906,248952,22111,1118,721,1634,2749,#tech #ai #socialmedia #data,0.049906,32797,
POST_000065,Instagram,@barbara_lee,2024-03-23,Post,143321,108726,6392,260,76,433,6304,"['socialmedia', 'growth', 'business', 'startup']",0.046944,126712,negative
POST_000066,Instagram,@patricia_anderson,2023-06-30,Post,359644,208551,18040,1365,203,1788,3931,"['content', 'socialmedia', 'startup', 'marketing']",5.4521,376137,pos
POST_000067,TW,@noah_anderson,2023-07-09,Story,15852,9522,798,26,15,62,478,marketing,5.2927,80987,negative
POST_000068,instagram,@william_williams,2024-12-28,Carousel,52934,49471,2964,89,47,233,2841,"['socialmedia', 'growth']",5.8563,359743,positive
POST_000069,instagram,@james_wilson,2023-12-24,Carousel,172757,149668,15768,2049,939,980,3225,#startup,0.108569,430596,
POST_000070,Instagram,@liam_wilson,2023-08-11,Carousel,414508,363037,41573,5325,3124,877,14504,['data'],0.120678,271528,neg
POST_000071,instagram,@liam_robinson,2024-01-05,Post,326734,168033,19276,1654,376,442,9070,"['socialmedia', 'tech']",6.5209,271709,
POST_000072,TW,@sophia_williams,2024-04-13,Post,37874,35480,3573,301,206,311,2057,tech,10.7726,308893,pos
POST_000073,Twitter,@robert_wilson,2023-02-28,Tweet,207926,212511,7987,598,373,322,8487,#content,4.3083,175061,positive
POST_000074,Twitter,@olivia_martin,2024-03-01,Poll,166842,89979,10480,500,618,381,3113,"analytics,socialmedia,business,ai",0.069515,325549,positive
POST_000075,TW,@elizabeth_white,2024-01-05,Tweet,406148,260587,20224,2171,459,592,10714,"['startup', 'growth', 'marketing']",0.05627,348625,negative
POST_000076,twitter,@william_moore,2024-06-05,Poll,45161,24649,1023,71,19,52,1016,"growth,marketing,data",2.4645,114846,0
POST_000077,twitter,@linda_martin,2024-08-30,Carousel,33586,46470,3691,240,251,352,2719,"startup,growth,data,analytics",0.124516,229210,
POST_000078,twitter,@mary_jones,2023-02-23,Tweet,164074,91461,7358,290,487,219,1952,"['growth', 'ai', 'analytics']",4.9581,201323,1
POST_000079,Twitter,@michael_miller,2023-01-26,Post,319760,195862,12356,1175,927,866,11749,"data,socialmedia,marketing",0.045215,34079,negative
POST_000080,twitter,@thomas_johnson,2023-12-29,Thread,396510,210328,6529,963,163,242,6641,#data #analytics #ai #marketing,0.019306,240635,good
POST_000081,X,@james_martin,2024-02-17,Carousel,499258,307205,26579,3732,1256,998,9552,"['socialmedia', 'data', 'growth', 'analytics']",6.3228,332001,good
POST_000082,TW,@linda_garcia,2023-06-17,Poll,419143,273833,10105,531,370,714,13757,#growth #analytics #marketing,0.026258,261787,negative
POST_000083,twitter,@mary_gonzalez,2023-07-12,Post,93680,85379,3938,337,275,363,2653,"socialmedia,growth,business,content",4.857,339407,
POST_000084,Twitter,@richard_wilson,2023-03-31,Post,189938,111132,10997,950,516,777,4592,#content #startup #socialmedia #tech,6.5616,183745,good
POST_000085,Instagram,@noah_white,2024-08-15,Carousel,482386,420926,36453,2700,794,3394,4835,"business,data,ai",8.2811,249761,positive
POST_000086,TW,@sarah_miller,2024-01-19,Carousel,282453,245160,8596,511,265,858,8370,"content,tech,marketing",0.033181,21600,negative
POST_000087,Twitter,@patricia_lewis,2024-07-13,Reel,384125,289046,22142,2639,1147,2058,6791,"analytics,business,marketing,data",6.7499,279249,negative
POST_000088,TW,@karen_anderson,2023-11-27,Post,363942,253640,11739,882,571,495,12258,socialmedia,0.036248,276371,positive
POST_000089,instagram,@joseph_taylor,2023-06-04,Carousel,161588,109948,10133,1257,636,255,1464,"['tech', 'ai', 'data']",7.4424,11937,+
POST_000090,Twitter,@richard_miller,2023-11-28,Poll,227052,206547,11355,442,907,853,7442,"['marketing', 'data', 'startup', 'tech']",0.055952,172658,pos
POST_000091,twitter,@ava_jackson,2023-01-21,Tweet,211895,196894,7857,1081,311,547,8672,"content,socialmedia,ai,business",0.043649,136721,neg
POST_000092,Instagram,@mary_smith,2023-10-05,Tweet,472289,385144,20773,2511,915,551,12251,"['content', 'data', 'startup', 'analytics']",5.1238,480540,
POST_000093,IG,@mary_thompson,2024-07-14,Post,53464,47513,5124,357,250,366,1894,"tech,marketing,ai,business",0.107194,97214,bad
POST_000094,twitter,@karen_wilson,2023-08-17,Carousel,76930,65608,1626,189,95,55,2966,"growth,socialmedia",0.024828,423327,0
POST_000095,Twitter,@liam_martinez,2024-12-08,Poll,341445,280478,26126,2603,734,1814,5836,"marketing,growth",0.086289,407320,0
POST_000096,Twitter,@jessica_taylor,2023-01-21,Carousel,306296,186388,21125,1324,1085,914,2709,"['business', 'ai', 'startup', 'growth']",7.6834,94727,positive
POST_000097,Twitter,@linda_moore,2023-07-13,Thread,280633,192656,8800,636,240,806,7837,"socialmedia,ai,business",0.034479,93357,negative
POST_000098,INSTA,@david_harris,2024-03-09,Tweet,259657,158911,5759,565,230,211,4550,"socialmedia,startup",2.5241,393066,great
POST_000099,IG,@charles_miller,2023-08-03,Thread,90574,75991,8649,781,393,471,3178,"['content', 'tech', 'socialmedia', 'ai']",0.108453,381116,bad
POST_000100,TW,@liam_johnson,2024-10-26,Post,117979,74976,4550,257,191,108,3942,#content #growth #startup #data,0.042363,298996,
POST_000101,Twitter,@ava_gonzalez,2023-02-26,Carousel,262960,214750,8727,1153,431,689,8352,['socialmedia'],3.9211,287807,pos
POST_000102,TW,@noah_clark,2023-12-25,Carousel,32090,41395,2133,305,68,197,1960,#content #ai,7.8093,290073,
POST_000103,twitter,@karen_anderson,2023-08-26,Story,478312,252606,18120,2014,1434,1703,7951,"growth,business,ai,analytics",0.045092,194589,
POST_000104,Instagram,@liam_brown,2023-08-03,Story,485931,438048,27042,2779,1463,975,25172,"socialmedia,analytics",0.06438,282596,0
POST_000105,twitter,@jessica_gonzalez,2023-02-11,Tweet,484028,571461,41722,4856,933,2946,12948,"content,ai,growth,business",9.8158,372121,
POST_000106,Instagram,@sophia_martinez,2023-08-13,Story,340758,205653,12086,685,776,971,10671,"['tech', 'analytics']",3.9755,486870,positive
POST_000107,TW,@patricia_miller,2023-02-01,Story,397151,294232,21491,1353,780,1118,14966,"growth,socialmedia,ai,startup",0.059484,224874,great
POST_000108,Twitter,@william_williams,2023-07-10,Story,116616,65286,7200,233,228,393,2258,"['analytics', 'business', 'tech']",0.065694,210978,positive
POST_000109,IG,@karen_thomas,2024-09-02,Thread,71301,36009,3670,136,242,166,388,#socialmedia #tech,5.6773,366867,
POST_000110,Twitter,@michael_wilson,2023-11-17,Story,332880,170076,13529,859,635,931,3849,tech,0.04513,444778,1
POST_000111,twitter,@john_wilson,2023-07-13,Carousel,181768,171915,10683,482,144,225,9001,"data,business",0.062217,412366,
POST_000112,TW,@sarah_davis,2023-02-09,Carousel,457713,392765,41167,3152,2272,3401,13497,"['growth', 'analytics', 'business']",10.1791,404818,negative
POST_000113,Instagram,@john_smith,2023-08-06,Reel,304708,268196,14867,975,316,1420,8723,"['tech', 'marketing', 'ai']",0.053028,137904,
POST_000114,Twitter,@susan_smith,2023-06-22,Reel,120266,86758,9372,1235,536,817,4086,"business,data,startup,ai",0.092653,24645,good
POST_000115,Instagram,@patricia_wilson,2023-11-30,Thread,87608,64740,2514,374,122,221,1443,"marketing,ai",0.034358,411810,positive
POST_000116,Instagram,@jessica_lewis,2024-11-19,Post,111268,64856,3048,187,98,296,3215,"socialmedia,content",2.9955,218022,positive
POST_000117,Instagram,@mary_brown,2023-02-03,Poll,436994,316431,25328,1320,1829,1084,13739,#ai #data,0.065166,243642,-
POST_000118,Twitter,@patricia_lee,2023-11-29,Carousel,431135,516973,46458,2767,1232,2622,6763,ai,11.7033,337750,1
POST_000119,Instagram,@karen_lopez,2023-12-07,Post,344982,300190,33619,1309,992,1625,12101,#data,0.104121,359609,good
POST_000120,Twitter,@robert_garcia,2023-02-04,Story,312543,276296,17252,1622,497,1085,9477,['growth'],0.061979,487131,-
POST_000121,TW,@jessica_lee,2023-07-09,Reel,137105,119098,7280,953,339,657,4153,"marketing,startup,tech,data",0.062521,481797,good
POST_000122,Twitter,@susan_thompson,2023-01-09,Post,125797,116847,3126,213,110,183,2061,"marketing,startup,growth,tech",0.027417,427095,
POST_000123,Instagram,@richard_thomas,2024-06-02,Story,437943,397301,34906,4225,1192,2129,20101,#startup #socialmedia #tech #business,9.2074,99314,positive
POST_000124,twitter,@susan_clark,2024-12-15,Carousel,244491,152784,15048,2110,925,1396,6439,#marketing,7.3962,343545,great
POST_002308,X,@john_smith,2023-02-08,Reel,344940,203010,4262,136,337,256,9483,#growth #marketing,1.3727,343905,great
POST_000126,Twitter,@sarah_miller,2024-07-24,Poll,482424,322724,27142,2719,1166,585,17216,['content'],0.064315,247516,
POST_000127,TW,@michael_smith,2024-01-24,Carousel,410511,220708,11009,689,609,939,11280,"['analytics', 'socialmedia', 'startup', 'growth']",0.02998,482653,negative
POST_000128,Instagram,@emma_smith,2023-07-13,Post,331753,289861,27515,2837,1692,1481,14624,['growth'],9.659,1,neg
POST_000129,Instagram,@elizabeth_anderson,2024-04-08,Reel,320674,338085,9169,322,534,713,5691,"['data', 'ai', 'growth', 'startup']",0.031262,49663,
POST_000130,Instagram,@joseph_hernandez,2023-08-30,Reel,371586,205881,14237,445,919,1141,2416,"['marketing', 'socialmedia', 'analytics']",0.041985,193727,-
POST_000131,Instagram,@olivia_miller,2024-12-27,Story,479905,338315,36266,1456,2177,1683,4080,#marketing,8.3139,201851,1
POST_000132,Instagram,@michael_white,2024-07-05,Tweet,333792,249759,29502,3622,2287,2746,5913,"startup,business,ai,marketing",10.6087,104327,1
POST_000133,Twitter,@mary_jones,2023-07-08,Reel,429757,284782,26214,1950,1929,1976,7297,"marketing,ai,socialmedia,content",7.0023,105206,
POST_000134,Instagram,@ava_moore,2024-04-12,Poll,472565,303280,8633,1150,454,293,14288,['ai'],0.021663,430693,-
POST_000135,Twitter,@michael_anderson,2024-11-02,Reel,473195,330817,24560,1442,911,645,6842,['business'],5.6875,344146,positive
POST_000136,Instagram,@sarah_miller,2024-04-26,Poll,345927,211897,15422,924,1217,534,11425,"['content', 'business']",5.0771,271784,-
POST_000137,instagram,@noah_williams,2024-04-27,Post,463431,310265,21367,1025,761,1441,17614,#tech,4.996,17950,pos
POST_000138,INSTA,@sophia_harris,2023-09-30,Carousel,245582,200780,13451,1838,418,437,4793,#tech #marketing,0.063958,453488,
POST_000139,Instagram,@barbara_smith,2024-04-02,Thread,309723,280769,6210,751,79,344,5248,"['business', 'ai']",2.273,1,negative
POST_000140,TW,@emma_moore,2024-09-03,Story,358732,187902,16661,596,1294,602,5939,"['socialmedia', 'tech', 'data']",5.1713,296328,bad
POST_000141,Instagram,@joseph_lee,2023-02-24,Story,425890,398865,31928,3946,2246,694,5364,#startup,8.9507,96933,neg
POST_000142,Instagram,@thomas_white,2024-05-31,Tweet,85770,118413,8856,1107,235,462,6688,['ai'],0.118899,416915,great
POST_000143,instagram,@susan_davis,2023-06-07,Carousel,184224,162103,14824,588,551,577,1776,"tech,business,marketing,data",8.665,378583,
POST_000144,X,@ava_jones,2024-06-14,Thread,397456,316637,23821,1038,614,1318,18592,"['tech', 'data', 'growth']",0.06409,72849,
POST_000145,Twitter,@ava_thomas,2024-01-10,Carousel,49714,43282,2712,299,214,172,740,"tech,analytics",6.4871,488408,bad
POST_000146,IG,@charles_smith,2023-05-24,Carousel,212856,121273,6479,353,76,344,3475,"['tech', 'analytics', 'socialmedia', 'marketing']",0.032454,454418,pos
POST_000147,Twitter,@thomas_hernandez,2024-12-30,Post,243336,135413,8065,264,92,385,2240,"['tech', 'startup', 'business']",0.034606,200672,+
POST_000148,X,@james_moore,2023-08-10,Post,203000,105799,7599,882,450,377,1567,ai,4.3995,224013,positive
POST_000149,INSTA,@patricia_smith,2024-08-23,Poll,63913,38217,2195,250,52,64,1514,#data #tech #ai #analytics,3.9069,299780,negative
POST_000150,Instagram,@elizabeth_martin,2023-09-22,Post,313020,247398,15844,634,160,1070,4891,"['marketing', 'growth']",0.053153,400704,
POST_000151,Instagram,@james_davis,2023-04-13,Poll,103142,74916,6281,314,331,233,3560,#data #socialmedia #ai #business,0.06715,427748,bad
POST_000152,X,@patricia_anderson,2023-08-11,Carousel,57631,46074,3475,185,148,182,1964,['marketing'],0.066076,436203,great
POST_000153,Instagram,@michael_robinson,2024-12-07,Tweet,293487,275182,17509,1939,629,1302,10482,"['content', 'growth', 'socialmedia', 'tech']",6.8408,111028,positive
POST_000154,Twitter,@linda_jones,2023-05-28,Story,30098,17232,1846,120,20,132,832,['content'],0.065984,184094,great
POST_000155,Twitter,@david_martin,2024-08-27,Post,127909,76716,4165,270,65,406,1605,"data,tech",0.035181,339697,positive
POST_000156,Instagram,@patricia_moore,2024-05-06,Post,429070,257919,12076,1048,835,949,15004,"['content', 'business', 'growth']",3.2533,468625,-
POST_000157,Instagram,@karen_johnson,2023-11-12,Thread,7432,6138,331,21,25,11,294,#analytics #business,5.0727,453648,
POST_000158,TW,@olivia_thomas,2024-04-19,Thread,25456,13089,1079,114,36,23,424,#analytics #startup,4.8279,49185,good
POST_000159,X,@noah_gonzalez,2024-02-29,Carousel,146713,95595,1993,68,135,46,4339,"['startup', 'ai', 'data', 'business']",1.4968,74688,great
POST_000160,TW,@linda_lee,2024-02-06,Carousel,113495,84788,4782,484,339,98,3479,"ai,analytics",0.049385,362854,neg
POST_000161,Twitter,@james_clark,2024-06-01,Reel,279387,141398,3451,164,228,280,3906,#startup #business #content #analytics,1.3755,292434,positive
POST_000162,Instagram,@linda_anderson,2024-03-23,Story,109433,100614,9939,330,742,611,2889,"business,content,marketing,socialmedia",0.100619,8069,bad
POST_000163,Twitter,@susan_white,2023-02-10,Poll,244728,228263,12989,938,1035,760,5111,"content,startup,socialmedia,business",6.1137,453270,negative
POST_000164,Twitter,@liam_garcia,2024-12-11,Tweet,39688,34516,1254,164,37,85,840,#growth,3.6661,116126,
POST_000165,Twitter,@olivia_smith,2024-12-27,Thread,157273,111984,7799,438,81,270,4634,"['startup', 'ai', 'socialmedia']",0.052889,497839,positive
POST_000166,Twitter,@olivia_harris,2023-02-19,Post,134999,103021,5818,303,223,230,3341,#tech,4.6993,148764,positive
POST_000167,Twitter,@john_williams,2023-01-05,Tweet,358518,183356,20662,1936,1233,2005,10312,"['startup', 'socialmedia', 'tech']",0.066471,278639,positive
POST_000168,Instagram,@michael_robinson,2024-05-06,Story,74366,64118,5572,547,188,171,950,#business #content #growth,0.08481,229613,negative
POST_000169,instagram,@emma_miller,2024-09-18,Thread,129093,65282,4421,446,204,119,2186,#content #marketing,0.039282,246853,negative
POST_000170,INSTA,@sarah_clark,2024-08-14,Reel,379517,297144,34722,3641,1179,3090,7471,"startup,tech,marketing,ai",10.419,262040,negative
POST_000171,Twitter,@david_smith,2024-03-11,Poll,358771,193835,18041,1794,691,1712,6520,['analytics'],0.057212,112016,neg
POST_000172,Twitter,@sophia_thomas,2023-11-15,Poll,172110,147374,5815,277,250,130,6238,"marketing,analytics,startup,data",0.036849,293621,
POST_000173,INSTA,@william_smith,2024-10-29,Tweet,101945,75268,5002,455,354,400,2278,"ai,socialmedia",0.057001,191385,
POST_000174,TW,@liam_garcia,2023-08-14,Carousel,457766,261247,18307,1018,1226,979,8701,tech,4.4894,191759,positive
POST_000175,Instagram,@susan_thomas,2024-10-09,Thread,36424,19310,2153,193,164,79,872,#ai #socialmedia,0.068911,370816,1
POST_000176,X,@richard_gonzalez,2024-02-05,Reel,434655,265367,20071,917,551,485,8631,tech,4.9554,248431,positive
POST_000177,Instagram,@patricia_smith,2024-01-31,Story,180838,169289,15005,1473,636,688,3760,['analytics'],0.094637,293021,+
POST_000178,instagram,@ava_lee,2024-07-10,Carousel,147813,81958,2978,368,172,242,4906,startup,0.0238,230390,bad
POST_000179,Instagram,@joseph_lewis,2024-02-26,Reel,429878,303078,18349,2535,839,1590,17739,analytics,0.050533,419622,negative
POST_000180,Twitter,@jessica_anderson,2024-09-23,Story,451336,280965,10708,1428,414,792,13951,"['growth', 'business']",0.027806,108124,positive
POST_000181,Twitter,@emma_lewis,2024-09-29,Carousel,369525,294869,19155,987,403,682,7406,"tech,marketing",5.5598,189860,pos
POST_000182,instagram,@linda_davis,2024-04-28,Story,29419,24860,2660,223,132,135,406,"['tech', 'content', 'business', 'socialmedia']",10.2485,227096,neg
POST_000183,Instagram,@john_moore,2023-09-18,Post,351964,324569,34227,1052,2600,1067,15961,"socialmedia,content",10.7622,326583,pos
POST_000184,Instagram,@patricia_lee,2024-04-14,Poll,426510,302627,10622,801,666,246,15704,"['tech', 'content', 'growth', 'marketing']",0.028344,0,-
POST_000185,Instagram,@sarah_jones,2024-12-17,Tweet,38672,56104,3447,324,150,115,2083,"['tech', 'business', 'data']",10.1391,98815,
POST_000186,INSTA,@charles_thompson,2024-10-15,Poll,458655,286936,33079,3909,1703,1898,3326,"business,growth",8.4358,498598,great
POST_000187,instagram,@william_martinez,2024-09-28,Story,89502,74855,2450,154,49,127,897,#tech,2.9642,42142,
POST_000188,Instagram,@mary_lopez,2024-01-24,Thread,264032,249906,8949,705,520,408,3239,#marketing #data,3.8533,328800,good
POST_000189,Twitter,@robert_davis,2024-12-02,Poll,328540,216980,6338,848,338,317,11218,"ai,business",2.2901,63461,
POST_000190,INSTA,@ava_jackson,2023-09-21,Story,163969,133840,9657,1050,294,505,4622,"startup,growth,ai,analytics",6.7092,213232,negative
POST_000191,Instagram,@olivia_martinez,2024-06-23,Reel,341699,289419,34647,3380,2713,3272,15514,#socialmedia,0.119228,393362,positive
POST_000192,Instagram,@richard_taylor,2023-05-18,Reel,179827,155789,16948,1518,452,983,7154,"['startup', 'content', 'analytics']",10.5201,85898,
POST_000193,Instagram,@patricia_harris,2023-08-04,Poll,205583,158725,6740,616,240,331,6564,"['ai', 'startup', 'analytics', 'content']",0.036949,493681,1
POST_000194,Instagram,@liam_anderson,2023-04-08,Reel,28832,19678,1981,131,87,42,275,"content,growth,tech",0.076269,388913,positive
POST_000195,Instagram,@susan_martinez,2023-09-29,Carousel,458222,350999,7987,301,602,773,16007,#growth #data #business #tech,0.019401,495884,+
POST_000196,Instagram,@elizabeth_wilson,2023-09-29,Reel,123864,67530,5408,538,187,172,836,"['socialmedia', 'tech', 'startup']",0.049514,134540,negative
POST_000197,IG,@jessica_lopez,2023-07-01,Post,485775,454886,48801,6581,2450,1569,9062,#content #ai #business,0.119051,415396,bad
POST_000198,Twitter,@sarah_martinez,2023-01-21,Poll,138882,151890,8415,1259,264,756,1871,"['startup', 'socialmedia']",7.1557,204837,great
POST_000199,Twitter,@linda_hernandez,2023-09-19,Story,76638,45841,2693,111,46,144,2195,#socialmedia #tech #marketing,3.7188,450452,0
