campaign_id,campaign_name,channel,start_date,end_date,budget_usd,spend_usd,impressions,clicks,ctr,conversions,conversion_rate,revenue_usd,roi_pct,target_audience
CMP-3080,Flash Special 2023,Influencer,2023-12-24,2024-01-24,17339.0,14938.79,298577,6056,2.03,675,11.15,130588.33,774.16,25-34 Professionals
CMP-3081,Winter Blast 2023,Display Ads,2023-04-28,2023-05-29,11708.21,11255.34,494153,17609,3.56,1649,9.36,302288.46,2585.73,35-44 Parents
CMP-3082,Winter Deal 2023,Podcast,2023-07-19,2023-09-17,28564.48,21146.22,69647,2533,3.64,201,7.94,22706.73,7.38,Students
CMP-3083,Holiday Blast 2022,Podcast,2022-11-20,2022-12-03,15746.92,15268.1,265942,18406,6.92,1477,8.02,175435.31,1049.03,25-34 Professionals
CMP-3084,Fall Event 2024,Video Ads,2024-02-09,2024-05-05,21560.75,16526.37,492163,15573,3.16,1755,11.27,284576.76,1621.96,18-24 Urban
CMP-3085,Holiday Sale 2023,Direct Mail,2023-02-21,2023-04-03,24603.66,23969.01,215470,5921,2.75,366,6.18,24868.64,3.75,Enterprise
CMP-3086,Winter Sale 2024,Email,2024-11-26,2025-02-17,29784.51,21442.81,183292,3896,2.13,319,8.19,29169.23,36.03,25-34 Professionals
CMP-3087,Winter Sale 2022,Search Ads,2022-07-20,2022-10-17,33593.72,27424.6,96675,1305,1.35,47,3.6,5538.32,-79.81,18-24 Urban
CMP-3088,Exclusive Offer 2022,Social Media,2022-03-01,2022-04-22,48331.54,41122.86,184014,7095,3.86,891,12.56,124568.41,202.92,Enterprise
CMP-3089,Mega Campaign 2022,Email,2022-04-08,2022-04-24,27481.12,21211.29,309912,4060,1.31,525,12.93,99558.01,369.36,Enterprise
CMP-3090,Spring Campaign 2025,Podcast,2025-04-28,2025-06-16,47314.98,28996.03,194400,11835,6.09,243,2.05,40684.71,40.31,Students
CMP-3091,Holiday Promo 2023,Direct Mail,2023-05-10,2023-07-01,2273.07,2098.02,273746,17487,6.39,914,5.23,93955.93,4378.31,45-54 Homeowners
CMP-3092,Winter Offer 2023,Direct Mail,2023-01-09,2023-02-06,49164.66,35649.41,218071,15111,6.93,2079,13.76,349008.51,879.0,18-24 Urban
CMP-3093,Fall Promo 2023,Social Media,2023-01-12,2023-02-16,17112.51,16232.68,386477,24761,6.41,1973,7.97,243214.84,1398.3,35-44 Parents
CMP-3094,Launch Sale 2024,Influencer,2024-12-30,2025-03-20,3935.16,2404.15,372252,10866,2.92,139,1.28,14123.45,487.46,25-34 Professionals
CMP-3095,Winter Drive 2023,Email,2023-06-28,2023-09-01,49917.59,42433.57,225018,12394,5.51,1352,10.91,118783.38,179.93,55+ Retirees
CMP-3096,Holiday Drive 2024,Video Ads,2024-07-28,2024-10-16,37173.06,32828.43,241103,8510,3.53,698,8.2,56269.35,71.4,Enterprise
CMP-3097,Premium Drive 2023,Display Ads,2023-07-15,2023-09-01,25546.85,21566.56,140629,4952,3.52,192,3.88,33750.48,56.49,45-54 Homeowners
CMP-3098,Fall Drive 2022,Video Ads,2022-01-21,2022-02-02,11524.98,6946.78,244236,3036,1.24,314,10.34,52186.51,651.23,35-44 Parents
CMP-3099,Summer Special 2024,Video Ads,2024-01-20,2024-02-27,37371.3,34847.82,68372,5002,7.32,493,9.86,81513.33,133.91,18-24 Urban
CMP-3100,Exclusive Deal 2022,Video Ads,2022-01-08,2022-01-28,4943.65,4128.29,75360,668,0.89,68,10.18,7512.86,81.98,25-34 Professionals
CMP-3101,Holiday Drive 2023,Podcast,2023-09-14,2023-11-09,17723.29,16491.11,346486,7875,2.27,127,1.61,3390.84,-79.44,45-54 Homeowners
CMP-3102,Fall Blast 2024,Search Ads,2024-07-22,2024-09-14,4513.17,3133.96,130512,9071,6.95,537,5.92,36136.59,1053.06,55+ Retirees
CMP-3103,Spring Special 2024,Social Media,2024-07-27,2024-09-23,19656.82,12237.49,260306,7292,2.8,998,13.69,159383.55,1202.42,35-44 Parents
CMP-3104,Flash Special 2024,Video Ads,2024-02-19,2024-03-10,30520.57,22872.39,56461,1843,3.26,95,5.15,11203.57,-51.02,18-24 Urban
CMP-3105,Mega Special 2022,Influencer,2022-04-29,2022-06-14,47705.05,47653.92,425964,14960,3.51,1060,7.09,126536.39,165.53,55+ Retirees
CMP-3106,Premium Push 2023,Influencer,2023-07-12,2023-10-03,43002.55,41386.54,395237,22757,5.76,2031,8.92,211280.32,410.5,Enterprise
CMP-3107,Spring Campaign 2022,Email,2022-05-17,2022-06-13,12672.89,7691.31,47940,2953,6.16,165,5.59,8608.69,11.93,25-34 Professionals
CMP-3108,Summer Deal 2024,Search Ads,2024-01-02,2024-01-12,24394.91,16246.98,381557,25097,6.58,850,3.39,32031.16,97.15,35-44 Parents
CMP-3109,Summer Special 2022,Influencer,2022-03-28,2022-06-18,15377.69,10799.82,103267,705,0.68,98,13.9,7201.14,-33.32,Students
CMP-3110,Spring Deal 2024,Display Ads,2024-07-21,2024-10-01,23994.39,17168.58,355974,20875,5.86,3014,14.44,141143.01,722.1,Small Business
CMP-3111,Exclusive Special 2024,Influencer,2024-10-06,2024-10-25,32056.64,24237.31,41015,1746,4.26,131,7.5,16246.35,-32.97,45-54 Homeowners
CMP-3112,Launch Push 2024,Social Media,2024-01-15,2024-02-11,16386.41,11921.35,134420,8824,6.56,488,5.53,74487.37,524.82,Small Business
CMP-3113,Holiday Drive 2023,Email,2023-07-08,2023-07-28,48486.58,33904.63,492364,4457,0.91,194,4.35,21098.19,-37.77,55+ Retirees
CMP-3114,Fall Push 2025,Email,2025-02-17,2025-04-16,36665.46,28249.81,142963,7687,5.38,1076,14.0,79316.21,180.77,Enterprise
CMP-3115,Flash Sale 2025,Email,2025-03-31,2025-05-01,12787.07,10213.72,371756,15403,4.14,1626,10.56,62055.16,507.57,Enterprise
CMP-3116,Fall Special 2023,Direct Mail,2023-02-18,2023-05-09,17318.0,12387.81,147370,4574,3.1,447,9.77,81113.23,554.78,Small Business
CMP-3117,Launch Event 2023,Influencer,2023-05-05,2023-07-12,2772.78,2624.6,138293,5608,4.06,625,11.14,112241.06,4176.5,Enterprise
CMP-3118,Spring Blast 2025,Podcast,2025-01-28,2025-03-06,45537.21,28309.66,56259,3758,6.68,162,4.31,12220.53,-56.83,Small Business
CMP-3119,Flash Sale 2024,Display Ads,2024-01-13,2024-02-22,31906.06,27778.09,70263,5156,7.34,179,3.47,33184.59,19.46,45-54 Homeowners
CMP-3120,Holiday Push 2024,Video Ads,2024-05-26,2024-08-14,12609.54,10309.22,161839,1240,0.77,164,13.23,6917.54,-32.9,18-24 Urban
CMP-3121,Holiday Special 2025,Display Ads,2025-07-10,2025-10-05,41774.51,38077.81,155845,5325,3.42,347,6.52,18655.44,-51.01,18-24 Urban
CMP-3122,Spring Push 2025,Influencer,2025-06-24,2025-08-24,20835.08,16143.2,489848,9699,1.98,916,9.44,86787.5,437.61,Students
CMP-3123,Fall Drive 2024,Display Ads,2024-07-09,2024-08-09,42563.95,35327.93,141810,4525,3.19,449,9.92,24502.35,-30.64,25-34 Professionals
CMP-3124,Summer Promo 2025,Email,2025-05-14,2025-08-09,49450.18,33855.81,370983,6182,1.67,126,2.04,3582.67,-89.42,45-54 Homeowners
CMP-3125,Premium Event 2025,Social Media,2025-01-16,2025-03-26,23828.72,23148.59,484962,22361,4.61,3004,13.43,572223.45,2371.96,Enterprise
CMP-3126,Exclusive Campaign 2025,Display Ads,2025-02-04,2025-04-09,45893.75,40268.7,223267,15554,6.97,2205,14.18,246256.78,511.53,45-54 Homeowners
CMP-3127,Premium Blast 2022,Video Ads,2022-07-01,2022-09-01,16361.94,13727.07,117094,2562,2.19,216,8.43,30129.83,119.49,18-24 Urban
CMP-3128,Launch Event 2022,Video Ads,2022-08-10,2022-09-20,3196.04,2307.39,317436,7067,2.23,443,6.27,58431.67,2432.37,Students
CMP-3129,Flash Event 2025,Email,2025-09-06,2025-10-14,26005.06,18535.17,315662,9072,2.87,363,4.0,39090.11,110.9,25-34 Professionals
CMP-3130,Winter Blast 2023,Display Ads,2023-11-20,2023-12-26,33474.56,25021.81,152493,7293,4.78,228,3.13,5286.94,-78.87,18-24 Urban
CMP-3131,Mega Sale 2022,Social Media,2022-11-29,2022-12-07,6026.75,5352.98,76143,2548,3.35,216,8.48,39514.01,638.17,Students
CMP-3132,Summer Deal 2023,Direct Mail,2023-04-15,2023-06-25,18065.01,15822.34,195562,6168,3.15,360,5.84,47761.4,201.86,25-34 Professionals
CMP-3133,Spring Campaign 2023,Social Media,2023-09-09,2023-10-06,19616.6,15060.07,160110,4471,2.79,302,6.75,31995.61,112.45,25-34 Professionals
CMP-3134,Summer Drive 2022,Influencer,2022-02-02,2022-04-14,2493.35,2126.01,98677,5261,5.33,342,6.5,23801.85,1019.55,Students
CMP-3135,Winter Promo 2023,Podcast,2023-06-14,2023-08-27,29835.7,29166.95,144414,2234,1.55,69,3.09,5587.59,-80.84,Students
CMP-3136,Winter Drive 2025,Podcast,2025-04-11,2025-04-26,830.82,756.41,236625,4287,1.81,257,5.99,21056.41,2683.73,45-54 Homeowners
CMP-3137,Spring Sale 2023,Search Ads,2023-06-12,2023-07-13,42482.82,34779.43,323706,3419,1.06,63,1.84,9878.01,-71.6,55+ Retirees
CMP-3138,Mega Blast 2022,Influencer,2022-12-29,2023-01-07,45729.34,28759.42,74492,2882,3.87,180,6.25,4509.71,-84.32,Small Business
CMP-3139,Fall Promo 2024,Podcast,2024-08-22,2024-11-06,23881.1,17178.44,55930,822,1.47,66,8.03,7275.1,-57.65,35-44 Parents
CMP-3140,Holiday Deal 2024,Social Media,2024-09-22,2024-10-31,38584.31,38552.84,82887,898,1.08,98,10.91,6479.5,-83.19,45-54 Homeowners
CMP-3141,Exclusive Special 2024,Social Media,2024-06-04,2024-08-11,5980.44,3755.94,223915,9935,4.44,509,5.12,64069.03,1605.81,35-44 Parents
CMP-3142,Flash Push 2024,Email,2024-02-26,2024-04-03,34652.61,30325.92,71534,2779,3.88,259,9.32,9217.6,-69.6,Students
CMP-3143,Exclusive Blast 2023,Video Ads,2023-05-05,2023-06-08,10187.59,6299.86,488564,21547,4.41,355,1.65,61727.23,879.82,35-44 Parents
CMP-3144,Holiday Campaign 2025,Video Ads,2025-04-28,2025-07-13,18333.95,12143.36,36194,974,2.69,70,7.19,9782.14,-19.44,Enterprise
CMP-3145,Summer Promo 2023,Email,2023-03-06,2023-04-19,19455.61,15416.27,303463,11384,3.75,652,5.73,27267.84,76.88,25-34 Professionals
CMP-3146,Launch Push 2024,Social Media,2024-02-02,2024-02-25,41954.01,37243.08,457917,23755,5.19,547,2.3,97901.31,162.87,35-44 Parents
CMP-3147,Fall Drive 2023,Search Ads,2023-02-05,2023-04-07,39992.61,35644.41,281184,10089,3.59,147,1.46,20328.85,-42.97,45-54 Homeowners
CMP-3148,Launch Campaign 2024,Influencer,2024-01-31,2024-02-19,4039.39,3484.53,177321,10333,5.83,353,3.42,52814.3,1415.68,Students
CMP-3149,Winter Blast 2022,Video Ads,2022-02-09,2022-03-14,4458.39,3392.17,350545,4453,1.27,554,12.44,92855.47,2637.35,Students
CMP-3150,Flash Deal 2022,Video Ads,2022-04-21,2022-06-28,9807.04,7889.25,158372,1727,1.09,60,3.47,3606.63,-54.28,Small Business
CMP-3151,Winter Sale 2023,Social Media,2023-07-15,2023-09-07,43232.67,28057.17,497087,18948,3.81,2702,14.26,422542.85,1406.01,Enterprise
CMP-3152,Launch Promo 2023,Direct Mail,2023-11-25,2024-01-04,42130.63,32955.55,198394,7668,3.87,173,2.26,29441.62,-10.66,Enterprise
CMP-3153,Fall Promo 2023,Display Ads,2023-12-25,2024-02-12,31981.37,31065.28,419546,15897,3.79,1901,11.96,170406.3,448.54,Enterprise
CMP-3154,Fall Blast 2022,Video Ads,2022-04-19,2022-05-10,24268.39,15464.26,496938,20512,4.13,2619,12.77,467201.93,2921.17,Small Business
CMP-3155,Summer Event 2023,Email,2023-02-15,2023-03-06,28429.66,25088.38,171397,1902,1.11,94,4.94,6796.86,-72.91,Small Business
CMP-3156,Launch Campaign 2023,Search Ads,2023-07-04,2023-07-12,1881.02,1373.26,122829,5383,4.38,662,12.3,14855.17,981.74,18-24 Urban
CMP-3157,Launch Event 2024,Direct Mail,2024-08-12,2024-11-05,20194.85,12981.34,326550,16111,4.93,2102,13.05,274947.16,2018.02,Small Business
CMP-3158,Exclusive Deal 2025,Social Media,2025-03-25,2025-04-11,11694.88,7509.51,468745,19906,4.25,2920,14.67,407156.92,5321.88,Small Business
CMP-3159,Flash Offer 2024,Podcast,2024-07-05,2024-08-14,34857.21,33889.19,68117,2497,3.67,194,7.77,18672.33,-44.9,18-24 Urban
CMP-3160,Mega Event 2025,Search Ads,2025-03-24,2025-06-06,45019.63,34762.58,430759,28973,6.73,2459,8.49,101518.7,192.03,18-24 Urban
CMP-3161,Spring Promo 2023,Influencer,2023-02-17,2023-05-06,49683.38,46295.03,81521,4410,5.41,270,6.12,35141.35,-24.09,55+ Retirees
CMP-3162,Exclusive Promo 2022,Social Media,2022-06-20,2022-08-13,47038.52,35729.81,416643,20368,4.89,1173,5.76,45774.51,28.11,Enterprise
CMP-3163,Launch Offer 2024,Direct Mail,2024-09-30,2024-12-14,24751.4,17542.17,34160,1604,4.7,87,5.42,12665.77,-27.8,Students
CMP-3164,Summer Drive 2024,Video Ads,2024-02-06,2024-04-11,33113.18,29084.32,204566,9788,4.78,495,5.06,22427.03,-22.89,35-44 Parents
CMP-3165,Winter Special 2024,Influencer,2024-02-28,2024-05-16,10220.5,8806.34,356806,12023,3.37,1161,9.66,119746.08,1259.77,Students
CMP-3166,Holiday Sale 2022,Search Ads,2022-02-14,2022-02-26,5763.06,4718.82,158237,4916,3.11,479,9.74,24095.85,410.63,45-54 Homeowners
CMP-3167,Holiday Deal 2024,Direct Mail,2024-11-29,2025-01-31,40523.37,33002.87,359889,27600,7.67,446,1.62,52050.5,57.72,18-24 Urban
CMP-3168,Launch Blast 2023,Search Ads,2023-07-18,2023-07-25,28902.84,27450.81,464643,8734,1.88,1204,13.79,55333.56,101.57,Small Business
CMP-3169,Flash Drive 2025,Search Ads,2025-03-08,2025-04-29,10550.59,8127.48,67273,4661,6.93,519,11.13,61738.87,659.63,Students
CMP-3170,Launch Sale 2022,Influencer,2022-09-23,2022-11-25,40195.68,36937.27,26065,975,3.74,72,7.38,14013.3,-62.06,Students
CMP-3171,Spring Event 2023,Display Ads,2023-03-15,2023-03-24,12405.04,9048.98,131746,5328,4.04,243,4.56,47845.2,428.74,18-24 Urban
CMP-3172,Holiday Special 2024,Direct Mail,2024-03-31,2024-06-17,41113.65,33937.98,275697,3922,1.42,281,7.16,50478.15,48.74,Students
CMP-3173,Mega Drive 2022,Podcast,2022-11-02,2023-01-22,15278.9,11892.76,330113,20587,6.24,2828,13.74,533510.85,4386.01,18-24 Urban
CMP-3174,Exclusive Blast 2022,Display Ads,2022-03-15,2022-04-25,37878.97,29506.46,5805,101,1.74,11,10.89,2075.71,-92.97,Students
