review_id,product_id,user_id,review_date,rating,review_title,review_text,verified_purchase,helpful_votes,product_category,sentiment
REV-100099,PROD-1484,USR-56529,2024-12-02,3,Standard experience,This experience is standard. Exactly what I was looking for.,True,192,Electronics,Neutral
REV-100100,PROD-4221,USR-72545,2025-03-17,4,Excellent value,This value is excellent. Could be better for the price.,True,92,Books,Positive
REV-100101,PROD-1076,USR-15452,2025-07-20,1,Bad purchase,This purchase is bad. I would definitely recommend this to others.,True,84,Sports,Negative
REV-100102,PROD-2875,USR-55883,2025-09-10,5,Best item,This item is best. Quality is best as described.,False,106,Sports,Positive
REV-100103,PROD-2019,USR-36390,2024-07-16,3,Standard delivery,This delivery is standard. Compared to similar products this stands out.,True,152,Toys,Neutral
REV-100104,PROD-1295,USR-91072,2024-10-04,5,Superb item,This item is superb. Great item for the money.,True,167,Clothing,Positive
REV-100105,PROD-3397,USR-41016,2023-06-27,1,Worst design,This design is worst. Could be better for the price.,True,86,Toys,Negative
REV-100106,PROD-3214,USR-45942,2024-05-14,4,Great design,This design is great. Compared to similar products this stands out.,False,45,Toys,Positive
REV-100107,PROD-3545,USR-39141,2024-11-11,4,Best quality,This quality is best. I have been using this for weeks now.,True,48,Home & Kitchen,Positive
REV-100108,PROD-3468,USR-57653,2022-01-23,5,Wonderful quality,This quality is wonderful. I have been using this for weeks now.,False,126,Electronics,Positive
REV-100109,PROD-4006,USR-45375,2023-04-13,3,Okay design,This design is okay. Not sure I would buy this again.,True,116,Electronics,Neutral
REV-100110,PROD-2886,USR-79936,2022-07-16,5,Excellent delivery,This delivery is excellent. Great delivery for the money.,True,85,Sports,Positive
REV-100111,PROD-4153,USR-85962,2022-04-03,3,Reasonable performance,This performance is reasonable. I would definitely recommend this to others.,True,140,Toys,Neutral
REV-100112,PROD-3185,USR-35067,2025-11-12,5,Fantastic experience,This experience is fantastic. Shipping was fast and packaging was good.,True,106,Home & Kitchen,Positive
REV-100113,PROD-4190,USR-52181,2025-09-20,3,Okay performance,This performance is okay. I would definitely recommend this to others.,True,60,Books,Neutral
REV-100114,PROD-4557,USR-35770,2025-04-30,3,Decent design,This design is decent. Not sure I would buy this again.,True,85,Grocery,Neutral
REV-100115,PROD-3615,USR-32133,2024-10-24,5,Fantastic product,This product is fantastic. Could be better for the price.,True,29,Beauty,Positive
REV-100116,PROD-4155,USR-51114,2023-02-16,4,Outstanding design,This design is outstanding. Not sure I would buy this again.,True,81,Books,Positive
REV-100117,PROD-4756,USR-58907,2022-11-29,4,Perfect delivery,This delivery is perfect. Not sure I would buy this again.,True,180,Toys,Positive
REV-100118,PROD-1684,USR-34528,2024-11-15,2,Terrible product,This product is terrible. I would definitely recommend this to others.,True,196,Home & Kitchen,Negative
REV-100119,PROD-2733,USR-17971,2025-07-26,5,Superb design,This design is superb. Could be better for the price.,False,118,Toys,Positive
REV-100120,PROD-4652,USR-20309,2025-03-25,3,Acceptable experience,This experience is acceptable. The experience met my expectations overall.,True,137,Sports,Neutral
REV-100121,PROD-1834,USR-96295,2025-12-19,2,Awful experience,This experience is awful. Shipping was fast and packaging was good.,False,77,Toys,Negative
REV-100122,PROD-1070,USR-26048,2024-03-31,2,Disappointing material,This material is disappointing. Great material for the money.,True,71,Beauty,Negative
REV-100123,PROD-3038,USR-85314,2025-04-27,3,Fair product,This product is fair. Exactly what I was looking for.,False,110,Sports,Neutral
REV-100124,PROD-4179,USR-54327,2025-04-12,5,Excellent product,This product is excellent. Exactly what I was looking for.,True,111,Electronics,Positive
REV-100125,PROD-3710,USR-73103,2022-01-16,4,Excellent purchase,This purchase is excellent. Great purchase for the money.,False,97,Sports,Positive
REV-100126,PROD-3909,USR-27328,2025-03-10,5,Love material,This material is love. Quality is love as described.,True,194,Home & Kitchen,Positive
REV-100127,PROD-4698,USR-77967,2023-02-10,5,Perfect value,This value is perfect. I have been using this for weeks now.,False,7,Clothing,Positive
REV-100128,PROD-4312,USR-66942,2023-12-08,5,Wonderful experience,This experience is wonderful. Shipping was fast and packaging was good.,True,138,Clothing,Positive
REV-100129,PROD-2244,USR-58925,2025-10-23,2,Disappointing performance,This performance is disappointing. Shipping was fast and packaging was good.,True,51,Toys,Negative
REV-100130,PROD-3184,USR-84336,2023-09-14,4,Wonderful purchase,This purchase is wonderful. The purchase met my expectations overall.,True,45,Sports,Positive
REV-100131,PROD-4806,USR-74463,2025-10-19,4,Outstanding purchase,This purchase is outstanding. I have been using this for weeks now.,False,57,Toys,Positive
REV-100132,PROD-2029,USR-56518,2024-07-15,5,Amazing value,This value is amazing. Compared to similar products this stands out.,True,189,Electronics,Positive
REV-100133,PROD-1848,USR-85396,2023-01-12,5,Outstanding value,This value is outstanding. The value met my expectations overall.,True,99,Grocery,Positive
REV-100134,PROD-4993,USR-48341,2025-10-09,5,Excellent purchase,This purchase is excellent. I have been using this for weeks now.,True,63,Toys,Positive
REV-100135,PROD-4738,USR-73929,2022-03-04,2,Useless material,This material is useless. Exactly what I was looking for.,True,181,Toys,Negative
REV-100136,PROD-1642,USR-55629,2023-04-06,4,Wonderful product,This product is wonderful. Shipping was fast and packaging was good.,True,172,Books,Positive
REV-100137,PROD-3100,USR-34759,2024-12-28,4,Perfect experience,This experience is perfect. Could be better for the price.,True,147,Books,Positive
REV-100138,PROD-4219,USR-23808,2022-01-20,3,Standard experience,This experience is standard. Great experience for the money.,True,195,Clothing,Neutral
REV-100139,PROD-1006,USR-82106,2022-06-02,5,Great purchase,This purchase is great. Exactly what I was looking for.,False,187,Books,Positive
REV-100140,PROD-1408,USR-68881,2022-04-16,5,Superb experience,This experience is superb. I have been using this for weeks now.,True,116,Clothing,Positive
REV-100141,PROD-3391,USR-75632,2022-07-07,5,Excellent purchase,This purchase is excellent. Exactly what I was looking for.,False,42,Electronics,Positive
REV-100142,PROD-2664,USR-16430,2023-09-11,2,Terrible material,This material is terrible. Shipping was fast and packaging was good.,False,61,Electronics,Negative
REV-100143,PROD-1455,USR-55707,2024-09-15,5,Best material,This material is best. Quality is best as described.,False,153,Sports,Positive
REV-100144,PROD-1174,USR-11773,2022-08-03,1,Worst experience,This experience is worst. Great experience for the money.,True,36,Electronics,Negative
REV-100145,PROD-2748,USR-38100,2025-02-10,4,Wonderful item,This item is wonderful. Compared to similar products this stands out.,True,180,Books,Positive
REV-100146,PROD-2192,USR-97430,2025-04-01,2,Worst delivery,This delivery is worst. Could be better for the price.,True,193,Electronics,Negative
REV-100147,PROD-2799,USR-74565,2025-01-05,4,Perfect quality,This quality is perfect. Great quality for the money.,False,180,Beauty,Positive
REV-100148,PROD-3489,USR-23216,2022-06-06,3,Decent delivery,This delivery is decent. Exactly what I was looking for.,True,191,Books,Neutral
REV-100149,PROD-3403,USR-54475,2024-09-14,3,Average design,This design is average. Great design for the money.,True,115,Grocery,Neutral
REV-100150,PROD-3525,USR-62942,2022-03-05,2,Broken quality,This quality is broken. The quality met my expectations overall.,False,41,Books,Negative
REV-100151,PROD-3786,USR-92781,2023-07-18,3,Alright item,This item is alright. Shipping was fast and packaging was good.,False,16,Books,Neutral
REV-100152,PROD-3829,USR-69500,2024-09-23,5,Excellent quality,This quality is excellent. Could be better for the price.,True,98,Beauty,Positive
REV-100153,PROD-1610,USR-69512,2022-11-18,4,Best value,This value is best. Quality is best as described.,True,28,Clothing,Positive
REV-100154,PROD-3871,USR-74722,2024-04-16,5,Amazing material,This material is amazing. I would definitely recommend this to others.,True,84,Home & Kitchen,Positive
REV-100155,PROD-1664,USR-77954,2024-08-20,1,Broken item,This item is broken. Compared to similar products this stands out.,True,182,Home & Kitchen,Negative
REV-100156,PROD-4642,USR-91774,2022-06-04,4,Wonderful value,This value is wonderful. Could be better for the price.,True,26,Electronics,Positive
REV-100157,PROD-4432,USR-54492,2025-11-22,4,Great quality,This quality is great. Shipping was fast and packaging was good.,False,176,Beauty,Positive
REV-100158,PROD-1052,USR-16839,2023-06-16,1,Bad purchase,This purchase is bad. I would definitely recommend this to others.,False,168,Clothing,Negative
REV-100159,PROD-4471,USR-39474,2022-01-07,1,Disappointing design,This design is disappointing. I would definitely recommend this to others.,True,193,Electronics,Negative
REV-100160,PROD-1594,USR-98432,2023-02-19,5,Great experience,This experience is great. Great experience for the money.,True,144,Clothing,Positive
REV-100161,PROD-1422,USR-28357,2025-12-12,5,Love item,This item is love. Exactly what I was looking for.,True,116,Electronics,Positive
REV-100162,PROD-2544,USR-38462,2022-10-28,5,Perfect material,This material is perfect. Not sure I would buy this again.,True,4,Books,Positive
REV-100163,PROD-2659,USR-68365,2025-05-11,2,Worst product,This product is worst. I would definitely recommend this to others.,True,78,Clothing,Negative
REV-100164,PROD-2491,USR-82154,2025-03-10,5,Best item,This item is best. Could be better for the price.,True,196,Sports,Positive
REV-100165,PROD-3020,USR-88987,2022-05-07,3,Alright product,This product is alright. Exactly what I was looking for.,True,154,Grocery,Neutral
REV-100166,PROD-4262,USR-98017,2025-01-15,3,Standard design,This design is standard. Compared to similar products this stands out.,True,92,Sports,Neutral
REV-100167,PROD-4079,USR-33417,2025-05-29,5,Amazing material,This material is amazing. Exactly what I was looking for.,True,124,Toys,Positive
REV-100168,PROD-1287,USR-88056,2025-04-28,2,Useless product,This product is useless. Quality is useless as described.,True,182,Home & Kitchen,Negative
REV-100169,PROD-3799,USR-36684,2023-02-26,5,Amazing experience,This experience is amazing. Exactly what I was looking for.,False,59,Electronics,Positive
REV-100170,PROD-4355,USR-10157,2023-11-24,4,Great performance,This performance is great. I would definitely recommend this to others.,True,2,Books,Positive
REV-100171,PROD-2504,USR-99868,2024-08-12,5,Great quality,This quality is great. Shipping was fast and packaging was good.,False,99,Home & Kitchen,Positive
REV-100172,PROD-1929,USR-17852,2025-09-02,3,Fine design,This design is fine. Not sure I would buy this again.,True,188,Toys,Neutral
REV-100173,PROD-3517,USR-32968,2022-07-15,4,Wonderful item,This item is wonderful. The item met my expectations overall.,True,149,Books,Positive
REV-100174,PROD-1403,USR-88605,2023-08-18,3,Adequate item,This item is adequate. The item met my expectations overall.,True,164,Clothing,Neutral
REV-100175,PROD-3092,USR-65397,2022-01-21,5,Outstanding delivery,This delivery is outstanding. Great delivery for the money.,True,9,Grocery,Positive
REV-100176,PROD-4907,USR-29748,2023-08-30,3,Average design,This design is average. Compared to similar products this stands out.,True,31,Beauty,Neutral
REV-100177,PROD-4068,USR-34096,2024-06-26,5,Best purchase,This purchase is best. Great purchase for the money.,True,184,Toys,Positive
REV-100178,PROD-4512,USR-99499,2025-03-26,5,Wonderful product,This product is wonderful. Shipping was fast and packaging was good.,True,164,Home & Kitchen,Positive
REV-100179,PROD-2257,USR-29859,2025-07-22,4,Best purchase,This purchase is best. Not sure I would buy this again.,True,33,Books,Positive
REV-100180,PROD-3109,USR-10053,2022-06-06,3,Okay item,This item is okay. Quality is okay as described.,True,74,Sports,Neutral
REV-100181,PROD-2550,USR-19464,2025-08-01,4,Great performance,This performance is great. Quality is great as described.,True,78,Books,Positive
REV-100182,PROD-4882,USR-54120,2022-06-02,4,Superb material,This material is superb. Could be better for the price.,True,76,Sports,Positive
REV-100183,PROD-4429,USR-99707,2025-03-16,4,Fantastic performance,This performance is fantastic. Could be better for the price.,True,29,Beauty,Positive
REV-100184,PROD-1105,USR-97543,2025-02-10,4,Wonderful delivery,This delivery is wonderful. Could be better for the price.,True,173,Beauty,Positive
REV-100185,PROD-1293,USR-53056,2022-10-03,4,Excellent purchase,This purchase is excellent. Quality is excellent as described.,True,68,Electronics,Positive
REV-100186,PROD-4781,USR-18759,2025-10-22,4,Amazing quality,This quality is amazing. Not sure I would buy this again.,True,65,Beauty,Positive
REV-100187,PROD-3582,USR-99627,2022-07-17,3,Fair delivery,This delivery is fair. Quality is fair as described.,True,46,Sports,Neutral
REV-100188,PROD-2582,USR-30700,2023-02-20,4,Superb experience,This experience is superb. Could be better for the price.,False,124,Electronics,Positive
REV-100189,PROD-2779,USR-69598,2023-09-17,5,Best item,This item is best. Shipping was fast and packaging was good.,True,64,Clothing,Positive
REV-100190,PROD-1170,USR-23792,2025-05-21,4,Great quality,This quality is great. Shipping was fast and packaging was good.,True,100,Clothing,Positive
REV-100191,PROD-1619,USR-58165,2025-11-19,4,Fantastic performance,This performance is fantastic. Could be better for the price.,False,132,Toys,Positive
REV-100192,PROD-1975,USR-61844,2023-01-05,5,Fantastic delivery,This delivery is fantastic. Could be better for the price.,False,102,Books,Positive
REV-100193,PROD-4923,USR-69362,2022-11-29,3,Reasonable value,This value is reasonable. Shipping was fast and packaging was good.,True,35,Beauty,Neutral
REV-100194,PROD-2413,USR-91054,2023-04-23,5,Excellent design,This design is excellent. Shipping was fast and packaging was good.,True,39,Sports,Positive
REV-100195,PROD-2379,USR-22527,2022-11-20,4,Perfect product,This product is perfect. I would definitely recommend this to others.,True,181,Sports,Positive
REV-100196,PROD-4267,USR-22586,2025-08-15,1,Worst material,This material is worst. Quality is worst as described.,True,77,Home & Kitchen,Negative
REV-100197,PROD-1930,USR-68754,2022-04-01,5,Wonderful product,This product is wonderful. Compared to similar products this stands out.,True,2,Beauty,Positive
REV-100198,PROD-4401,USR-44547,2025-07-05,5,Perfect quality,This quality is perfect. Not sure I would buy this again.,True,11,Clothing,Positive
REV-100199,PROD-1580,USR-69145,2023-03-10,4,Love product,This product is love. Exactly what I was looking for.,False,42,Grocery,Positive
REV-100200,PROD-1590,USR-16814,2024-02-20,5,Superb design,This design is superb. The design met my expectations overall.,True,70,Toys,Positive
REV-100201,PROD-2332,USR-99963,2022-01-20,4,Best design,This design is best. Not sure I would buy this again.,False,3,Grocery,Positive
REV-100202,PROD-1361,USR-99270,2023-05-22,5,Perfect quality,This quality is perfect. The quality met my expectations overall.,True,25,Toys,Positive
REV-100203,PROD-4046,USR-93897,2022-12-16,5,Amazing material,This material is amazing. Not sure I would buy this again.,True,114,Home & Kitchen,Positive
REV-100204,PROD-1757,USR-80231,2023-03-28,5,Perfect value,This value is perfect. Could be better for the price.,True,116,Electronics,Positive
REV-100205,PROD-4701,USR-73035,2024-06-20,5,Great experience,This experience is great. Great experience for the money.,True,110,Sports,Positive
REV-100206,PROD-4732,USR-93453,2024-07-20,2,Poor value,This value is poor. Compared to similar products this stands out.,True,110,Sports,Negative
REV-100207,PROD-3968,USR-22494,2024-02-29,4,Outstanding material,This material is outstanding. I have been using this for weeks now.,True,159,Grocery,Positive
REV-100208,PROD-4032,USR-47608,2025-10-20,5,Excellent item,This item is excellent. The item met my expectations overall.,True,101,Grocery,Positive
REV-100209,PROD-1904,USR-35467,2022-04-20,5,Best purchase,This purchase is best. I have been using this for weeks now.,True,80,Beauty,Positive
